Brands,Familys,Years,Models,TechInfos,Equipments
Ford,Ranger,2009,Ranger Limited 3.0 PSE 4x4 CD TB Diesel,"Ano:2009;Combustível:Diesel;Configuração:Picape;Garantia:2 anos;Geração:1;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:12,9 s;Velocidade máxima:165 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada:2068 cm³;Cilindros:4 em linha;Código do motor:International NGD 3.0E;Comando de válvulas:Duplo no cabeçote;Curso do pistão:102,5 mm;Diâmetro do cilindro:96 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:12,0 kg/cv;Peso/torque:50,6 kg/kgfm;Potência específica:54,9 cv/litro;Potência máxima:163 cv;Razão de compressão:17:1;Regime potência máx.:3800 rpm;Regime torque máx.:1600 rpm;Torque específico:13,0 kgfm/litro;Torque máximo:38,7 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Integral temporária;Altura:1825 mm;Ângulo de entrada:30 graus;Ângulo de saída:29 graus;Bitola dianteira:1486 mm;Bitola traseira:1455 mm;Caçamba:844 litros;Carga útil:1060 kg;Comprimento:5143 mm;Distância entre-eixos:3192 mm;Largura:1763 mm;Peso:1960 kg;Tanque de combustível:75 litros;Vão livre do solo:359 mm;Altura do flanco:172 mm;Dianteiros:245/70 R16;Estepe:245/70 R16;Traseiros:245/70 R16;Assistência:Hidráulica;Diâmetro de giro:13,2 m;Dianteira:Indep., braços sobrepostos;Elemento elástico:Feixe de molas semielípticas;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (D):938 km;Urbana (D):668 km;Rodoviário (D):12,5 km/l;Urbano (D):8,9 km/l",
Honda,City,2017,CITY Sedan DX 1.5 Flex 16V Mec.,"FIPE 06/23:R$ 64.225,00;Ano:2017;Combustível:Flex;Configuração:Sedã;Garantia:3 anos;Geração:2;Lugares:5;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:10,2 s;Velocidade máxima:180 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1497 cm³;Cilindros:4 em linha;Código do motor:L15A;Comando de válvulas:Único no cabeçote, corrente;Curso do pistão:89,4 mm;Diâmetro do cilindro:73 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,3 kg/cv;Peso/torque:70,3 kg/kgfm;Potência específica:77,5 cv/litro;Potência máxima:116 cv (A) 115 cv (G) a 6000 rpm;Razão de compressão:11,4:1;Rotação máxima:6500 rpm;Torque específico:10,2 kgfm/litro;Torque máximo:15,3 kgfm (A) 15,2 kgfm (G) a 4800 rpm;Tuchos:Mecânicos;Válvulas por cilindro:4;Variação do comando:Admissão;Altura:1485 mm;Bitola dianteira:1476 mm;Bitola traseira:1466 mm;Carga útil:350 kg;Comprimento:4455 mm;Distância entre-eixos:2600 mm;Largura:1695 mm;Peso:1076 kg;Porta-malas:536 litros;Tanque de combustível:46 litros;Altura do flanco:111 mm;Dianteiros:185/60 R15;Estepe:135/80 R15;Traseiros:185/60 R15;Assistência:Elétrica;Diâmetro mínimo de giro:10,6 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):474 km;Rodoviária (G):672 km;Urbana (A):396 km;Urbana (G):570 km;Rodoviário (A):10,3 km/l;Rodoviário (G):14,6 km/l;Urbano (A):8,6 km/l;Urbano (G):12,4 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Zonas de ar-condicionado: 1;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Volante multifuncional;Airbags frontais;Cintos de três pontos para todos os ocupantes;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Freios ABS;Travamento central das portas
Fiat,Fiorino,2002,Fiorino Furgão 1.5 mpi / i.e.,"FIPE 06/23:R$ 15.951,00;Ano:2002;Combustível:Gasolina;Configuração:Furgão;Garantia:1 ano;Geração:1;Lugares:2;Portas:2;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:13,5 s;Velocidade máxima:147 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1497 cm³;Cilindros:4 em linha;Código do motor:Fiasa;Comando de válvulas:Único no cabeçote;Curso do pistão:82,5 mm;Diâmetro do cilindro:76 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:13,4 kg/cv;Peso/torque:83,9 kg/kgfm;Potência específica:50,8 cv/litro;Potência máxima:76 cv;Razão de compressão:9,35:1;Regime potência máx.:5000 rpm;Regime torque máx.:2750 rpm;Torque específico:8,1 kgfm/litro;Torque máximo:12,1 kgfm;Tuchos:Mecânicos;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C513;Marchas:5;Tração:Dianteira;Altura:1873 mm;Bitola dianteira:1332 mm;Bitola traseira:1360 mm;Carga útil:620 kg;Comprimento:4159 mm;Distância entre-eixos:2576 mm;Largura:1622 mm;Peso:1015 kg;Porta-malas:3200 litros;Tanque de combustível:64 litros;Vão livre do solo:135 mm;Altura do flanco:116 mm;Dianteiros:165/70 R13;Traseiros:165/70 R13;Área frontal (A):2,58 m²;Área frontal corrigida:0,903 m²;Coef. de arrasto (Cx):0,35;Assistência:Não assistida;Diâmetro de giro:10,4 m;Dianteira:Indep., McPherson;Elemento elástico:Mola parabólica de lâmina única;Traseira:Eixo rígido;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (G):768 km;Urbana (G):614 km;Rodoviário (G):12 km/l;Urbano (G):9,6 km/l",
Audi,Q5,2020,Q5 Black 2.0 TFSI Quattro S tronic,"Ano:2020;Combustível:Gasolina;Configuração:SUV;Garantia:2 anos;Geração:2;Lugares:5;Plataforma:MLB Evo;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Série:FY;Aceleração 0-100 km/h:6,3 s;Velocidade máxima:237 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta e indireta;Aspiração:Turbocompressor;Cilindrada:1984 cm³;Cilindros:4 em linha;Código do motor:EA888;Comando de válvulas:Duplo no cabeçote;Curso do pistão:92,8 mm;Diâmetro do cilindro:82,5 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:6,8 kg/cv;Peso/torque:45,6 kg/kgfm;Potência específica:127,0 cv/litro;Potência máxima:252 cv;Razão de compressão:9,6:1;Regime potência máx.:5000 rpm;Regime torque máx.:1600 rpm;Torque específico:19,0 kgfm/litro;Torque máximo:37,7 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Embreagem dupla banhada a óleo;Câmbio:Automatizado;Código do câmbio:DL501;Marchas:7;Tração:Integral sob demanda;Altura:1659 mm;Altura mínima do solo:208 mm;Bitola dianteira:1616 mm;Bitola traseira:1609 mm;Carga útil:680 kg;Comprimento:4663 mm;Distância entre-eixos:2819 mm;Largura:1893 mm;Peso:1720 kg;Porta-malas:550 litros;Reboque com freio:2400 kg;Reboque sem freio:750 kg;Tanque de combustível:70 litros;Altura do flanco:115 mm;Dianteiros:255/45 R20;Traseiros:255/45 R20;Área frontal (A):2,67 m²;Área frontal corrigida:0,801 m²;Coef. de arrasto (Cx):0,3;Assistência:Elétrica;Diâmetro de giro:11,7 m;Dianteira:Indep., multibraço;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):721 km;Urbana (G):595 km;Rodoviário (G):10,3 km/l;Urbano (G):8,5 km/l",Ajuste de apoio lombar para o motorista;Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Apoio de braço central no banco traseiro;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Assist. de estacionamento semiautom.;Assistente de estacionamento semiautomático;Auto Hold;Banco do motorista com ajuste de altura;Banco do motorista com ajuste elétrico;Banco do motorista com memórias;Banco do motorista com memórias de ajuste;Banco do passageiro com ajuste elétrico;Banco traseiro bipartido;Banco traseiro corrediço;Banco traseiro rebatível;Banco traseiro reclinável;Bancos revestidos em couro;Câmbio automático;Chave presencial;Comando interno da tampa do tanque;Comando interno do bocal de abastec.;Comando interno do porta-malas;Controle automático de velocidade;Controle de velocidade adaptativo;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Destravamento remoto do porta-malas;Direção assistida;Extensão frontal do assento do motorista;Faróis com acendimento automático;Freio de estacionamento elétrico;Limitador de velocidade;Limpador de para-brisa automático;Luz de teto traseira;Luz no porta-luvas;Luz no porta-malas;Retrovisor externo com aquecimento;Retrovisor externo fotocrômico;Retrovisor interno fotocrômico;Retrovisores rebativeis eletricamente;Roda-livre;Rodas de liga leve;Saída de ar para o banco traseiro;Sistema start-stop;Tampa traseira motorizada;Teto panorâmico;Teto solar elétrico;Troca de marchas no volante;Zonas de ar-condicionado: 3;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;DVD player;Espelhamento da tela do celular;Indicador de temperatura externa;Leitor de cartão de memória;Navegador GPS;Rádio;Termômetro da água do motor;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Alerta de colisão frontal;Alerta de mudança de faixa;Alerta de ponto cego;Alerta de tráfego cruzado traseiro;Assistente de farol alto;Assistente de partida em rampa;Assistente de permanência em faixa;Assistente de permanência na faixa;Câmera traseira para manobras;Câmeras para visão de 360 graus;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle automático de descida;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de LED;Faróis de neblina;Freios ABS;Frenagem automática de emergência;Indicador de fadiga;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Luz traseira de neblina;Luzes de condução diurna;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Sensores de estacionamento dianteiro;Sensores de estacionamento traseiro;Tração integral;Travamento central das portas
BMW,318i Cabriolet,1994,318i Cabrio 1.8 16V,"Ano:1994;Combustível:Gasolina;Configuração:Conversível;Garantia:1 ano;Geração:3;Lugares:4;Portas:2;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Série:E36;Aceleração 0-100 km/h:13,7 s;Velocidade máxima:189 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1796 cm³;Cilindros:4 em linha;Código do motor:M43B18;Comando de válvulas:Duplo no cabeçote;Curso do pistão:81 mm;Diâmetro do cilindro:84 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:12,0 kg/cv;Peso/torque:81,6 kg/kgfm;Potência específica:64,6 cv/litro;Potência máxima:116 cv;Razão de compressão:9,7:1;Regime potência máx.:5500 rpm;Regime torque máx.:3900 rpm;Rotação máxima:6200 rpm;Torque específico:9,5 kgfm/litro;Torque máximo:17,1 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:2;Acoplamento:Conversor de torque;Câmbio:Automático;Código do câmbio:GM 4L30-E;Marchas:4;Tração:Traseira;Altura:1348 mm;Bitola dianteira:1408 mm;Bitola traseira:1421 mm;Carga útil:400 kg;Comprimento:4433 mm;Distância entre-eixos:2700 mm;Largura:1710 mm;Peso:1395 kg;Porta-malas:230 litros;Tanque de combustível:65 litros;Altura do flanco:123 mm;Dianteiros:205/60 R15;Traseiros:205/60 R15;Área frontal (A):1,96 m²;Área frontal corrigida:0,686 m²;Coef. de arrasto (Cx):0,35;Assistência:Hidráulica;Diâmetro de giro:10,4 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):618 km;Urbana (G):520 km;Rodoviário (G):9,5 km/l;Urbano (G):8 km/l",
Toyota,Yaris,2022,YARIS XL Live 1.3 Flex 16V 5p Aut.,"FIPE 06/23:R$ 85.744,00;Ano:2022;Combustível:Flex;Configuração:Hatch;Garantia:5 anos;Geração:3;Lugares:5;Plataforma:Toyota B;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:12,5 s;Velocidade máxima:170 km/h;Acoplamento:Conversor de torque;Câmbio:CVT;Código do câmbio:Aisin K312;Quantidade de marchas:7;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1329 cm³;Cilindros:4 em linha;Código do motor:1NR-FBE;Comando de válvulas:Duplo no cabeçote, corrente;Curso dos pistões:80,5 mm;Diâmetro dos cilindros:72,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:11,1 kg/cv;Peso/torque:87,2 kg/kgfm;Potência específica:76,0 cv/litro;Potência máxima:101 cv (A) 94 cv (G) a 5600 rpm;Razão de compressão:13:1;Rotação máxima:5800 rpm;Torque específico:9,7 kgfm/litro;Torque máximo:12,9 kgfm (A) 12,5 kgfm (G) a 4000 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Altura:1490 mm;Bitola dianteira:1470 mm;Bitola traseira:1460 mm;Carga útil:425 kg;Comprimento:4145 mm;Distância entre-eixos:2550 mm;Largura:1730 mm;Peso:1125 kg;Porta-malas:310 litros;Tanque de combustível:45 litros;Vão livre do solo:150 mm;Altura do flanco:111 mm;Dianteiros:Disco ventilado;Dianteiros:185/60 R15;Estepe:175/65 R14;Assistência:Elétrica;Diâmetro mínimo de giro:9,6 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Rodoviária (A):446 km;Rodoviária (G):639 km;Urbana (A):405 km;Urbana (G):590 km;Rodoviário (A):9,9 km/l;Rodoviário (G):14,2 km/l;Urbano (A):9 km/l;Urbano (G):13,1 km/l;Traseiros:Tambor;Traseiros:185/60 R15",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Câmbio automático;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Faróis com acendimento automático;Luz no porta-malas;Zonas de ar-condicionado: 1;Computador de bordo;Conta-giros;Indicador de temperatura externa;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Luz traseira de neblina;Repetidores laterais das luzes de direção;Travamento central das portas
Ford,Ka Sedan,2015,Ka+ Sedan 1.5 SEL 16V Flex 4p,"FIPE 06/23:R$ 42.636,00;Ano:2015;Combustível:Flex;Configuração:Sedã;Garantia:3 anos;Geração:3;Lugares:5;Plataforma:B-Car;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:10,5 s;Velocidade máxima:181 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1499 cm³;Cilindros:4 em linha;Código do motor:Sigma;Comando de válvulas:Duplo no cabeçote;Curso do pistão:76,4 mm;Diâmetro do cilindro:79 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,5 kg/cv;Peso/torque:70,3 kg/kgfm;Potência específica:73,4 cv/litro;Potência máxima:110 cv (A) 105 cv (G) a 5500 rpm;Potência máxima (A):110 cv;Potência máxima (G):105 cv;Razão de compressão:11:1;Rotação potência máx.:5500 rpm;Rotação torque máx.:4250 rpm;Torque específico:9,9 kgfm/litro;Torque máximo:14,9 kgfm (A) 14,6 kgfm (G) a 4250 rpm;Torque máximo (A):14,9 kgfm;Torque máximo (G):14,6 kgfm;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:IB5;Marchas:5;Quantidade de marchas:5;Tração:Dianteira;Altura:1525 mm;Carga útil:412 kg;Comprimento:4254 mm;Distância entre-eixos:2491 mm;Largura:1695 mm;Peso:1048 kg;Porta-malas:445 litros;Tanque de combustível:52 litros;Vão livre do solo:169 mm;Altura do flanco:107 mm;Dianteiros:195/55 R15;Estepe:175/65 R14;Traseiros:195/55 R15;Área frontal (A):2,2 m²;Área frontal corrigida:0,704 m²;Coef. de arrasto (Cx):0,32;Coeficiente de arrasto (Cx):0,32;Assistência:Elétrica;Diâmetro de giro:9,6 m;Diâmetro mínimo de giro:9,6 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):494 km;Rodoviária (G):707 km;Urbana (A):411 km;Urbana (G):598 km;Rodoviário (A):9,5 km/l;Rodoviário (G):13,6 km/l;Urbano (A):7,9 km/l;Urbano (G):11,5 km/l",Ajuste do volante em altura;Alças de segurança no teto;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Luz no porta-malas;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Assistente de partida em rampa;Chamada de assistência de emergência;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Faróis de neblina;Freios ABS;Travamento central das portas
Ford,Versailles,1992,Versailles GL 1.8i / 1.8 2p e 4p,"FIPE 06/23:R$ 6.282,00;Ano:1992;Combustível:Gasolina;Configuração:Sedã;Garantia:1 ano;Lugares:5;Plataforma:B2;Portas:2;Porte:Médio;Procedência:Nacional;Aceleração 0-100 km/h:12,2 s;Velocidade máxima:172 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Carburador;Aspiração:Natural;Cilindrada:1781 cm³;Cilindros:4 em linha;Código do motor:AP-1800;Comando de válvulas:Único no cabeçote, correia dentada;Curso do pistão:86,4 mm;Diâmetro do cilindro:81 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:12,3 kg/cv;Peso/torque:75,8 kg/kgfm;Potência específica:51,7 cv/litro;Potência máxima:92 cv a 5400 rpm;Razão de compressão:8,5:1;Torque específico:8,4 kgfm/litro;Torque máximo:14,9 kgfm a 3200 rpm;Tuchos:Mecânicos;Válvulas por cilindro:2;Altura:1417 mm;Bitola dianteira:1414 mm;Bitola traseira:1422 mm;Carga útil:440 kg;Comprimento:4572 mm;Distância entre-eixos:2548 mm;Largura:1686 mm;Peso:1130 kg;Porta-malas:363 litros;Reboque com freio:1000 kg;Reboque sem freio:500 kg;Tanque de combustível:72 litros;Altura do flanco:120 mm;Dianteiros:185/65 R14;Estepe:185/65 R14;Traseiros:185/65 R14;Assistência:Hidráulica;Diâmetro mínimo de giro:11,25 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):972 km;Urbana (G):684 km;Rodoviário (G):13,5 km/l;Urbano (G):9,5 km/l",
Fiat,Doblo,2014,Doblo ATTRACTIVE 1.4 Fire Flex 8V 5p,"FIPE 06/23:R$ 46.581,00;Ano:2014;Combustível:Flex;Configuração:Minivan;Garantia:1 ano;Lugares:6;Plataforma:178;Portas:4;Porte:Médio;Procedência:Nacional;Aceleração 0-100 km/h:15,5 s;Velocidade máxima:151 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C513;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1368 cm³;Cilindros:4 em linha;Código do motor:Fire;Comando de válvulas:Único no cabeçote, correia dentada;Curso do pistão:84 mm;Diâmetro do cilindro:72 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:15,1 kg/cv;Peso/torque:104,0 kg/kgfm;Potência específica:62,9 cv/litro;Potência máxima:86 cv (A) 85 cv (G) a 5750 rpm;Razão de compressão:10,35:1;Torque específico:9,1 kgfm/litro;Torque máximo:12,5 kgfm (A) 12,4 kgfm (G) a 3500 rpm;Tuchos:Mecânicos;Válvulas por cilindro:2;Altura:1858 mm;Bitola dianteira:1495 mm;Bitola traseira:1496 mm;Carga útil:545 kg;Comprimento:4252 mm;Distância entre-eixos:2566 mm;Largura:1722 mm;Peso:1300 kg;Porta-malas:665 litros;Tanque de combustível:60 litros;Vão livre do solo:161 mm;Altura do flanco:123 mm;Dianteiros:175/70 R14;Traseiros:175/70 R14;Assistência:Hidráulica;Diâmetro mínimo de giro:10,5 m;Dianteira:Independente, McPherson;Elemento elástico:Mola parabólica de lâmina única;Traseira:Eixo rígido;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (A):384 km;Rodoviária (G):570 km;Urbana (A):378 km;Urbana (G):552 km;Rodoviário (A):6,4 km/l;Rodoviário (G):9,5 km/l;Urbano (A):6,3 km/l;Urbano (G):9,2 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco traseiro bipartido;Controle elétrico dos vidros dianteiros;Direção assistida;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Cintos de três pontos para todos os ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;Limpador e lavador do vidro traseiro;Travamento central das portas
Toyota,Sw4,1995,Hilux SW4 4x4 3.0 12V V6,"Ano:1995;Combustível:Gasolina;Configuração:SUV;Garantia:1 ano;Geração:5;Lugares:5;Portas:4;Porte:Grande;Procedência:Importado;Propulsão:Combustão;Aceleração 0-100 km/h:14 s;Velocidade máxima:165 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:2958 cm³;Cilindros:6 em V;Código do motor:3VZ-E;Comando de válvulas:Único no cabeçote;Curso do pistão:82 mm;Diâmetro do cilindro:87,5 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:11,4 kg/cv;Peso/torque:69,6 kg/kgfm;Potência:152 cv;Potência específica:51,4 cv/litro;Potência máxima:cv;Razão de compressão:Não informada;Rotação potência máx.:4800 rpm;Rotação torque máx.:3400 rpm;Torque:25 kgfm;Torque específico:8,5 kgfm/litro;Torque máximo:25 kgfm;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Integral permanente;Altura:1679 mm;Comprimento:4470 mm;Distância entre-eixos:2624 mm;Largura:1689 mm;Peso:1740 kg;Porta-malas:468 litros;Tanque de combustível:65 litros;Altura do flanco:186 mm;Dianteiros:265/70 R16;Estepe:265/70 R16;Traseiros:265/70 R16;Assistência:Hidráulica;Diâmetro de giro:Não informado;Dianteira:Indep., braços sobrepostos;Elemento elástico:Mola helicoidal;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):455 km;Urbana (G):260 km;Rodoviário (G):7 km/l;Urbano (G):4 km/l",
BMW,316i,2015,316i 1.6 TB 16V 136cv 4p,"FIPE 06/23:R$ 169.058,00;Ano:2015;Combustível:Gasolina;Configuração:Sedã;Garantia:2 anos;Geração:6;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Série:F30;Aceleração 0-100 km/h:9,2 s;Velocidade máxima:210 km/h;Acoplamento:Conversor de torque;Câmbio:Automático;Código do câmbio:ZF 8HP;Quantidade de marchas:8;Tração:Traseira;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada:1598 cm³;Cilindros:4 em linha;Código do motor:N13B16;Comando de válvulas:Duplo no cabeçote, corrente;Curso do pistão:85,8 mm;Diâmetro do cilindro:77 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:10,3 kg/cv;Peso/torque:62,7 kg/kgfm;Potência específica:85,1 cv/litro;Potência máxima:136 cv a 4350 rpm;Razão de compressão:10,5:1;Torque específico:14,0 kgfm/litro;Torque máximo:22,4 kgfm a 1350 rpm;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Altura:1429 mm;Bitola dianteira:1543 mm;Bitola traseira:1583 mm;Carga útil:550 kg;Comprimento:4624 mm;Distância entre-eixos:2810 mm;Largura:1811 mm;Peso:1405 kg;Porta-malas:480 litros;Tanque de combustível:60 litros;Vão livre do solo:140 mm;Altura do flanco:123 mm;Dianteiros:205/60 R16;Traseiros:205/60 R16;Área frontal (A):2,2 m²;Área frontal corrigida:0,594 m²;Coeficiente de arrasto (Cx):0,27;Assistência:Eletro-hidráulica;Diâmetro mínimo de giro:11,3 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Independente, multibraço;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):774 km;Urbana (G):582 km;Rodoviário (G):12,9 km/l;Urbano (G):9,7 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Luz no porta-luvas;Luz no porta-malas;Rodas de liga leve;Sistema start-stop;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Luz traseira de neblina;Luzes de condução diurna;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Travamento central das portas
